Popular Products Report
Product,Total Sold,Total Revenue
Surly Ice Cream Truck Frameset - 2016,167,78488.33
Electra Cruiser 1 (24-Inch) - 2016,157,42388.43
Electra Townie Original 7D EQ - 2016,156,93598.44
Electra Girl's Hawaii 1 (20-inch) - 2015/2016,154,46198.46
Trek Slash 8 27.5 - 2016,154,615998.46
Electra Townie Original 21D - 2016,153,84148.47
Surly Straggler 650b - 2016,151,253829.49
Electra Townie Original 7D - 2015/2016,148,73998.52
Surly Straggler - 2016,147,227703
Trek Conduit+ - 2016,145,434998.55
